weight,firstName,middleName,lastName,currentTeamId,birthDate,height,wyId,foot,shortName,currentNationalTeamId
78,Memphis,,Depay,3766,1994-02-13,176,118,right,M. Depay,664
61,Dries,,Mertens,3187,1987-05-06,169,122,right,D. Mertens,5629
78,Ola,,Toivonen,3780,1986-07-03,192,123,right,O. Toivonen,7047
78,Stefan,,de Vrij,3162,1992-02-05,189,130,right,S. de Vrij,null
78,Karim,,El Ahmadi Al Aroos,16469,1985-01-27,179,142,right,K. El Ahmadi,16216
79,John,,Guidetti,696,1992-04-15,185,151,right,J. Guidetti,7047
86,Volkan,,Babacan,4535,1988-08-11,192,32923,right,V. Babacan,4687
78,Jeffrey,,Gouweleeuw,2481,1991-07-10,188,159,right,J. Gouweleeuw,null
72,Filip,,\u0110uri\u010di\u0107,3219,1992-01-30,181,174,right,F. \u0110uri\u010di\u0107,null
70,Peter,,Pekar\u00edk,2457,1986-10-30,176,32959,right,P. Pekar\u00edk,14496
93,Jago\u0161,,Vukovi\u0107,3194,1988-06-10,195,192,left,J. Vukovi\u0107,null
77,Nordin,,Amrabat,16470,1987-03-31,178,32968,right,N. Amrabat,16216
72,Christian,,Kouakou Yao,3783,1991-03-01,182,131321,right,C. Kouakou,null
71,Roberto Jos\u00e9,,Rosales Altuve,683,1988-11-20,175,254,right,R. Rosales,null
80,Nacer,,Chadli,1627,1989-08-02,187,261,right,N. Chadli,5629
76,Robin,,Gosens,3172,1994-06-05,183,295176,left,R. Gosens,null
78,Yacine,,Bammou,3770,1991-09-11,188,229697,right,Y. Bammou,null
86,Florian,,Le Joncour,3783,1995-02-03,193,328021,left,F. Le Joncour,null
78,Andr\u00e9,,Ramalho Silva,8743,1992-02-16,182,65880,right,Andr\u00e9 Ramalho,null
69,Davide,,Borsellini,3163,1999-01-04,180,393566,left,D. Borsellini,null
81,Leon-Aderemi,,Balogun,1651,1988-06-28,190,16443,right,L. Balogun,16823
70,Godfred,,Donsah,3166,1996-06-07,175,295273,right,G. Donsah,17527
82,Hyun-Jun,,Suk,3795,1991-06-29,190,382,right,Suk Hyun-Jun,null
76,Du\u0161an,,Tadi\u0107,9,1988-11-20,181,383,left,D. Tadi\u0107,17322
80,Bram,,Nuytinck,3163,1990-05-04,190,394,left,B. Nuytinck,null
78,Lasse,,Sch\u00f6ne,9,1986-05-27,177,405,right,L. Sch\u00f6ne,7712
56,Ablie,,Jallow,3777,1998-11-14,166,376908,left,A. Jallow,null
75,Bogdan Sorin,,Stancu,4502,1987-06-28,183,33235,right,B. Stancu,null
90,Gregor,,Kobel,2482,1997-12-06,194,328190,right,G. Kobel,null
80,Denis Lemi,,Zakaria Lako Lado,2454,1996-11-20,191,360992,right,D. Zakaria,6697
76,Marten,,de Roon,3172,1991-03-29,185,625,right,M. de Roon,null
75,Alex,,Iwobi,1609,1996-05-03,180,230020,right,A. Iwobi,16823
77,Lorenzo,,Pellegrini,3158,1996-06-19,186,328333,right,L. Pellegrini,3757
75,Mohamed Salim,,Fares,3194,1996-02-15,183,328336,left,M. Fares,null
73,Ot\u00e1vio Henrique,,Passos Santos,3772,1994-05-04,176,295569,right,Ot\u00e1vio,null
72,Hern\u00e1n Dar\u00edo,,Toledo,714,1996-01-17,180,393881,right,H. Toledo,null
78,Maya,,Yoshida,1619,1988-08-24,189,703,right,M. Yoshida,12913
78,Bryan,,Passi,3787,1997-08-05,189,426692,right,B. Passi,null
73,Hamza,,Mendyl,2449,1997-10-21,179,426702,left,H. Mendyl,16216
70,Anthony,,Caci,3779,1997-07-01,184,426714,right,A. Caci,null
77,Miguel \u00c1ngel,,Guerrero Mart\u00edn,712,1990-07-12,182,5481,right,Guerrero,null
75,R\u00f3bert,,Maz\u00e1\u0148,692,1994-02-09,180,786,left,R. Maz\u00e1\u0148,14496
71,Martin,,Terrier,3779,1997-03-04,183,394006,right,M. Terrier,4425
75,Th\u00e9odore,,Efouba Ayissi,,1997-05-05,184,394008,right,T. Efouba Ayissi,null
72,Tyronne,,Ebuehi,9607,1995-12-16,187,332821,right,T. Ebuehi,16823
65,Patrick,,Burner,3775,1996-04-11,170,328488,right,P. Burner,null
64,Samuel,,Grandsir,3795,1996-08-14,168,295761,right,S. Grandsir,4425
0,V\u00edctor,,L\u00f3pez Ib\u00e1\u00f1ez,696,1997-05-12,0,404285,right,V\u00edctor L\u00f3pez,null
65,Jean Micha\u00ebl,,Seri,3775,1991-07-19,168,131959,right,J. Seri,null
77,Gerard,,Gumbau Garriga,712,1994-12-18,187,263091,left,Gumbau,null
68,Pablo,,Maffeo Becerra,756,1997-07-12,173,263105,right,Pablo Maffeo,1604
78,Artur,,J\u0119drzejczyk,13505,1987-11-04,189,99381,right,A. J\u0119drzejczyk,13869
75,Maciej,,Rybus,13887,1989-08-19,173,99391,left,M. Rybus,13869
82,Marcin,,Kami\u0144ski,2445,1992-01-15,192,99410,left,M. Kami\u0144ski,null
76,Karim,,Onisiwo,2460,1992-03-17,188,66654,right,K. Onisiwo,null
81,Artjoms,,Rud\u0146evs,,1988-01-13,183,99425,left,A. Rud\u0146evs,null
83,\u0141ukasz,,Skorupski,3158,1991-05-05,190,99430,right,\u0141. Skorupski,null
76,Pawe\u0142,,Olkowski,2463,1990-02-13,184,99437,right,P. Olkowski,null
78,Arkadiusz,,Milik,3187,1994-02-28,186,99452,left,A. Milik,13869
72,Pr\u00e9juce Niguimb\u00e9,,Nakoulma,,1987-04-21,178,99453,right,P. Nakoulma,null
76,Gianluca,,Pegolo,3315,1981-03-25,183,20771,left,G. Pegolo,null
72,Mariusz,,St\u0119pi\u0144ski,3165,1995-05-12,183,99511,right,M. St\u0119pi\u0144ski,null
89,Duje,,\u0106aleta-Car,3771,1996-09-17,192,230626,right,D. \u0106aleta-Car,9598
92,Edvinas,,Gertmonas,3774,1996-06-01,192,240507,right,E. Gertmonas,13503
74,Hrvoje,,Mili\u0107,,1989-05-10,183,69874,left,H. Mili\u0107,null
70,Jonathan,,Klinsmann,2457,1997-04-08,194,492782,right,J. Klinsmann,8140
80,Francesco,,Vicari,3204,1994-08-03,190,263432,right,F. Vicari,null
70,Alex,,Ferrari,3194,1994-07-01,183,263433,right,A. Ferrari,null
88,Emil,,Berggreen,2460,1993-05-10,194,230687,right,E. Berggreen,null
88,Igor,,Lewczuk,3772,1985-05-30,189,99633,right,I. Lewczuk,null
76,Cheick,,Keita,3166,1996-04-16,182,361779,left,C. Keita,19001
69,Carlos,,Calder\u00f3n L\u00f3pez,698,1995-04-14,182,329026,right,Carlos Calder\u00f3n,null
80,Thiago,,Rangel Cionek,3204,1986-04-21,183,99661,right,T. Cionek,13869
73,Rodrigo,,Bentancur Colm\u00e1n,3159,1997-06-25,185,361807,right,R. Bentancur,15670
76,Bernardo,,Fernandes da Silva Junior,2975,1995-05-14,186,296341,left,Bernardo,null
81,Rafa\u0142,,Gikiewicz,2453,1987-10-26,190,99749,right,R. Gikiewicz,null
85,Alessandro,,Deiola,3173,1995-08-01,190,263591,right,A. Deiola,null
73,Nadiem,,Amiri,2482,1996-10-27,180,263614,right,N. Amiri,3155
78,Yeray,,\u00c1lvarez L\u00f3pez,678,1995-01-24,183,230857,right,Yeray,null
73,\u00cd\u00f1igo,,Lekue Mart\u00ednez,678,1993-05-04,180,230862,right,Lekue,null
84,Ali,,Gabr,27533,1989-01-10,193,198120,right,Ali Gabr,16129
70,Pere,,Pons Riera,756,1993-02-20,177,230895,right,Pere Pons,null
65,Federico Nicol\u00e1s,,Cartabia,677,1993-01-20,169,230897,left,Fede Cartabia,null
77,Bartosz,,Bereszy\u0144ski,3164,1992-07-12,183,99833,right,B. Bereszy\u0144ski,13869
81,\u00d3lafur Ingi,,Sk\u00falason,7727,1983-04-01,183,38241,right,\u00d3. Sk\u00falason,7839
79,Dominik,,Kohr,2446,1994-01-31,183,165425,right,D. Kohr,null
75,Piotr,,Zieli\u0144ski,3187,1994-05-20,180,99902,right,P. Zieli\u0144ski,13869
77,Jemerson,,de Jesus Nascimento,19830,1992-08-24,184,263766,right,Jemerson,null
72,Youri,,Tielemans,19830,1997-05-07,176,263802,right,Y. Tielemans,5629
80,Timothy,,Castagne,3172,1995-12-05,185,263803,right,T. Castagne,null
71,Kenny,,Tete,3766,1995-10-09,180,1712,right,K. Tete,664
71,Viktor,,Fischer,7452,1994-06-09,180,1722,right,V. Fischer,7712
74,Riechedly,,Bazoer,2451,1996-10-12,184,1729,right,R. Bazoer,670
80,Oussama,,Tannane,3782,1994-03-23,177,1751,left,O. Tannane,null
67,Presnel,,Kimpembe,3767,1995-08-13,183,231138,left,P. Kimpembe,4418
71,Kingsley,,Coman,2444,1996-06-13,178,231139,right,K. Coman,null
73,Gabriel,,Barbosa Almeida,5655,1996-08-30,178,263948,left,Gabigol,null
71,Mamadou,,Sissako,3795,1996-04-20,171,231184,right,M. Sissako,null
71,\u015eener,,\u00d6zbayrakl\u0131,4487,1990-01-23,171,34592,right,\u015e. \u00d6zbayrakl\u0131,null
86,Andrey,,Semenov,13898,1989-03-24,190,102629,right,A. Semenov,14358
71,Yoel,,Armougom,3783,1998-06-05,173,493412,left,Y. Armougom,null
70,K\u00e9vin Lucien,,Zohi,3779,1996-12-19,177,493415,right,K. Zohi,null
79,Igor,,Zubeld\u00eda Elorza,687,1997-03-30,180,395114,right,Zubeld\u00eda,1604
74,George,,Gope-Fenepej,3789,1988-10-23,182,132972,right,G. Gope-Fenepej,null
80,Pierluigi,,Gollini,3172,1995-03-18,188,264084,right,P. Gollini,null
78,Ezequiel,,Ponce Mart\u00ednez,3776,1997-03-29,178,284322,right,E. Ponce,12281
70,Enrico,,Bearzotti,3194,1996-10-20,180,388099,right,E. Bearzotti,null
90,Emiliano,,Viviano,3164,1985-12-01,195,20802,left,E. Viviano,null
87,Maximiliano,,G\u00f3mez Gonz\u00e1lez,692,1996-08-14,186,395636,right,Maxi G\u00f3mez,15670
79,Moctar El Hacen,,El Id,695,1997-12-31,181,264778,right,M. El Id,null
78,Thomas,,Strakosha,3162,1995-03-19,186,166534,right,T. Strakosha,null
78,Marcus,,Coco,3785,1996-06-24,184,330387,right,M. Coco,null
83,Joel,,Pohjanpalo,2446,1994-09-13,185,35477,right,J. Pohjanpalo,4849
67,Miguel \u00c1ngel,,Trauco Saavedra,5654,1992-08-25,175,115146,left,M. Trauco,15594
72,Vincent,,Laurini,3176,1989-06-10,173,22313,right,V. Laurini,null
67,Firmin Ndombe,,Mubele,3780,1994-04-17,170,264989,right,F. Mubele,18538
86,Anton\u00edn,,Bar\u00e1k,3163,1994-12-03,190,265172,left,A. Bar\u00e1k,11555
85,Manuel,,Akanji,2447,1995-07-19,187,297957,right,M. Akanji,6697
67,Samuel ,,Castillejo Azuaga,682,1995-01-18,182,134174,left,Samu Castillejo,null
82,Filip,,Manojlovi\u0107,698,1996-04-25,197,363560,right,F. Manojlovi\u0107,32344
73,Rub\u00e9n,,Sobrino Pozuelo,696,1992-02-16,185,134249,right,Rub\u00e9n Sobrino,null
87,Vasili,,Berezutski,,1982-06-20,189,101581,right,V. Berezutski,null
65,Julio C\u00e9sar,,Villalba Gaona,2454,1998-09-11,174,363648,right,J. Villalba,15519
80,Onyinye Wilfred,,Ndidi,1631,1996-12-16,187,265366,right,W. Ndidi,16823
72,Abdullahi,,Shehu,4502,1993-03-12,181,265368,right,A. Shehu,16823
70,Tom\u00e1\u0161,,Hubo\u010dan,4488,1985-09-17,184,101555,right,T. Hubo\u010dan,14496
83,Bruno Eduardo,,Regufe Alves,3160,1981-11-27,187,101558,right,Bruno Alves,9905
68,Achraf,,Hakimi Mouh,2447,1998-11-04,179,396475,right,A. Hakimi,16216
72,Eloi,,Amagat Arimany,756,1985-05-21,180,167104,right,Eloi Amagat,null
81,Vicente,,Guaita Panadero,698,1987-01-10,190,3267,right,Guaita,null
68,Jordi,,Alba Ramos,676,1989-03-21,170,3269,left,Jordi Alba,1598
76,Antonio,,Barrag\u00e1n Fern\u00e1ndez,684,1987-06-12,183,3270,right,Barrag\u00e1n,null
82,Igor,,Akinfeev,13886,1986-04-08,186,101576,right,I. Akinfeev,14358
90,Adil,,Rami,3771,1985-12-27,190,3276,right,A. Rami,4418
78,V\u00edctor,,Ru\u00edz Torre,682,1989-01-25,185,3277,left,V\u00edctor Ru\u00edz,null
75,Sabin,,Merino Zuloaga,678,1992-01-04,187,167119,right,Sabin Merino,null
71,\u00c9ver Maximiliano David,,Banega,680,1988-06-29,174,3280,right,\u00c9. Banega,12274
67,Juan,,Bernat Velasco,2444,1993-03-01,170,3281,left,Juan Bernat,null
74,Sergio,,Canales Madrazo,687,1991-02-16,180,3282,left,Canales,null
74,Daniel,,Parejo Mu\u00f1oz,674,1989-04-16,182,3286,right,Dani Parejo,null
75,Cristian,,Portugu\u00e9s Manzanera,756,1992-05-21,178,3287,right,Portu,null
76,Keisuke,,Honda,8311,1986-06-13,182,101592,left,K. Honda,12913
82,Mehmet,,Topal,4487,1986-03-03,187,3289,right,M. Topal,null
78,Aritz,,Aduriz Zubeldia,678,1981-02-11,182,3290,right,Aduriz,null
71,Francisco,,Alc\u00e1cer Garc\u00eda,676,1993-08-30,175,3291,right,Paco Alc\u00e1cer,null
63,Pablo Daniel,,Piatti,691,1989-03-31,163,3293,left,P. Piatti,null
88,Antonio,,Ad\u00e1n Garrido,684,1987-05-13,191,3296,left,Ad\u00e1n,null
81,Fernando,,Pacheco Flores,696,1992-05-18,186,3299,left,Fernando Pacheco,null
74,Dalbert Henrique,,Chagas Estev\u00e3o,3161,1993-09-08,181,298212,left,Dalbert,null
66,Ahmed,,Musa,16470,1992-10-14,171,101606,right,A. Musa,16823
76,Jos\u00e9 Ignacio,,Fern\u00e1ndez Iglesias,675,1990-01-18,180,3304,right,Nacho,1598
82,Sergio,,Ramos Garc\u00eda,675,1986-03-30,184,3306,right,Sergio Ramos,1598
78,Ricardo Alberto,,Silveira de Carvalho,,1978-05-18,183,3307,right,Ricardo Carvalho,null
78,Pedro Filipe,,Teod\u00f3sio Mendes,3787,1990-10-01,186,3308,right,Pedro Mendes,null
81,Rapha\u00ebl,,Varane,675,1993-04-25,191,3309,right,R. Varane,4418
80,Marcelo,,Vieira da Silva J\u00fanior,675,1988-05-12,174,3310,left,Marcelo,6380
97,Niklas,,S\u00fcle,2444,1995-09-03,195,134383,right,N. S\u00fcle,3148
73,Jos\u00e9 Mar\u00eda,,Callej\u00f3n Bueno,3187,1987-02-11,178,3313,right,Jos\u00e9 Callej\u00f3n,null
67,Lassana,,Diarra,3767,1985-03-10,173,3315,right,L. Diarra,null
78,Esteban F\u00e9lix,,Granero Molina,691,1987-07-02,180,3317,right,Granero,null
85,Sami,,Khedira,3159,1987-04-04,189,3318,right,S. Khedira,3148
76,Mesut,,\u00d6zil,1609,1988-10-15,180,3319,left,M. \u00d6zil,3148
73,Nuri,,\u015eahin,2447,1988-09-05,180,3320,left,N. \u015eahin,null
81,Karim,,Benzema,675,1987-12-19,185,3321,right,K. Benzema,null
83,Cristiano Ronaldo,,dos Santos Aveiro,3159,1985-02-05,187,3322,right,Cristiano Ronaldo,9905
82,Gonzalo Gerardo,,Higua\u00edn,3157,1987-12-10,184,3323,right,G. Higua\u00edn,12274
69,Juan Francisco,,Moreno Fuertes,677,1988-09-11,180,3325,right,Juanfran,null
85,Oier,,Olaz\u00e1bal Paredes,695,1989-09-14,189,3330,left,Oier,null
84,Felipe Salvador,,Caicedo Corozo,3162,1988-09-05,183,101635,left,F. Caicedo,null
70,Daniel,,Alves da Silva,3767,1983-05-06,172,3334,right,Dani Alves,null
73,Marc,,Bartra Aregall,684,1991-01-15,184,3335,right,Bartra,null
89,Andreu,,Font\u00e0s Prat,692,1989-11-14,186,3337,left,Font\u00e0s,null
77,Sergi,,G\u00f3mez Sol\u00e0,692,1992-07-28,185,3338,right,Sergi G\u00f3mez,null
73,Mart\u00edn,,Montoya Torralbo,674,1991-04-14,175,3339,right,Montoya,null
72,Marc,,Muniesa Mart\u00ednez,756,1992-03-27,179,3340,left,Muniesa,null
80,Alessio,,Cragno,3173,1994-06-28,183,134413,right,A. Cragno,null
71,Rafael,,Alc\u00e2ntara do Nascimento,3161,1993-02-12,174,3344,left,Rafinha,null
70,Thiago,,Alc\u00e2ntara do Nascimento,2444,1991-04-11,174,3345,right,Thiago Alc\u00e2ntara,1598
76,Sergio,,Busquets i Burgos,676,1988-07-16,189,3346,right,Sergio Busquets,1598
68,Sergi,,Roberto Carnicer,676,1992-02-07,178,3347,right,Sergi Roberto,null
68,Filippo,,Costa,3204,1995-05-21,176,134420,left,F. Costa,null
68,Jonathan,,dos Santos Ram\u00edrez,7847,1990-04-26,172,3349,right,J. dos Santos,15473
68,Andr\u00e9s,,Iniesta Luj\u00e1n,12804,1984-05-11,171,3353,right,Iniesta,1598
78,Daniele,,Rugani,3159,1994-07-29,188,134427,right,D. Rugani,3757
72,Leonardo,,Capezzi,3164,1995-03-28,178,134429,right,L. Capezzi,null
72,Cristian,,Tello Herrera,684,1991-08-11,178,3358,right,Cristian Tello,null
72,Lionel Andr\u00e9s,,Messi Cuccittini,676,1987-06-24,170,3359,left,L. Messi,12274
75,Alberto,,Grassi,3204,1995-03-07,184,134435,right,A. Grassi,null
91,Artem,,Dzyuba,13885,1988-08-22,196,101669,right,A. Dzyuba,14358
67,Jos\u00e9 Andr\u00e9s,,Guardado Hern\u00e1ndez,684,1986-09-28,169,3384,left,A. Guardado,15473
75,Alexandr,,Samedov,13888,1984-07-19,177,101699,right,A. Samedov,14358
84,Kepa,,Arrizabalaga Revuelta,1610,1994-10-03,189,3397,right,Arrizabalaga,1598
88,Ra\u00fal,,Fern\u00e1ndez-Cavada Mateos,695,1988-03-13,196,3398,right,Ra\u00fal Fern\u00e1ndez,null
89,Gorka,,Iraizoz Moreno,756,1981-03-06,191,3399,right,Iraizoz,null
80,Riccardo,,Piscitelli,,1993-10-10,185,134475,right,R. Piscitelli,null
68,Jon\u00e1s ,,Ramalho Chimeno,756,1993-06-10,181,3407,right,Ramalho,null
73,Enric,,Saborit Teixidor,678,1992-04-27,187,3408,left,Saborit,null
79,Mikel,,San Jos\u00e9 Dom\u00ednguez,678,1989-05-30,187,3409,right,San Jos\u00e9,null
77,Ander,,Iturraspe Derteano,678,1989-03-08,187,3414,right,Iturraspe,null
81,Javier,,Mart\u00ednez Aginaga,2444,1988-09-02,190,3416,right,Javi Mart\u00ednez,null
66,Markel,,Susaeta Laskurain,678,1987-12-14,179,3420,right,Susaeta,null
78,\u00d3scar,,de Marcos Arana,678,1989-04-14,182,3421,right,De Marcos,null
72,Ibai,,G\u00f3mez P\u00e9rez,696,1989-11-11,177,3423,right,Ibai G\u00f3mez,null
63,Iker,,Muniain Go\u00f1i,678,1992-12-19,169,3425,right,Muniain,null
87,Sergio ,,Asenjo Andr\u00e9s,682,1989-06-28,189,3428,right,Sergio Asenjo,null
81,Cl\u00e9ment,,Lenglet,680,1995-06-17,186,134503,left,C. Lenglet,null
79,Diego Roberto,,God\u00edn Leal,679,1986-02-16,187,3433,right,D. God\u00edn,15670
73,Filipe Luis,,Kasmirski,679,1985-08-09,182,3434,left,Filipe Luis,6380
77,Seko,,Fofana,3163,1995-05-07,183,134508,right,S. Fofana,null
76,Cristian Daniel,,Ansaldi,3185,1986-09-20,181,101742,left,C. Ansaldi,12274
73,Jorge,,Resurrecci\u00f3n Merodio,679,1992-01-08,177,3443,right,Koke,1598
77,Eduardo Antonio,,Salvio,9607,1990-07-13,173,3445,right,E. Salvio,12274
71,Juan Francisco,,Torres Bel\u00e9n,679,1985-01-09,180,3447,right,Juanfran,null
76,Arda,,Turan,4535,1987-01-30,175,3448,right,A. Turan,null
72,Radamel Falcao,,Garc\u00eda Z\u00e1rate,19830,1986-02-10,177,3450,right,R. Falcao,12430
73,Adri\u00e1n,,L\u00f3pez \u00c1lvarez,677,1988-01-08,183,3451,right,Adri\u00e1n L\u00f3pez,null
88,Sergio,,Rico Gonz\u00e1lez,680,1993-09-01,194,3458,right,Sergio Rico,null
74,Jorge,,And\u00fajar Moreno,695,1987-04-26,177,3460,right,Coke,null
85,Federico Juli\u00e1n,,Fazio,3158,1987-03-17,195,3463,right,F. Fazio,12274
68,Antonio Manuel,,Luna Rodr\u00edguez,695,1991-03-17,178,3464,left,Luna,null
68,Fernando,,Navarro i Corbacho,,1982-06-25,177,3465,left,Fernando Navarro,null
75,Alexis,,Ruano Delgado,696,1985-08-04,183,3466,right,Alexis,null
74,Layvin,,Kurzawa,3767,1992-09-04,182,134540,left,L. Kurzawa,null
70,Jos\u00e9 \u00c1ngel,,G\u00f3mez Campa\u00f1a,695,1993-05-31,179,3470,right,Campa\u00f1a,null
60,Jes\u00fas,,Navas Gonz\u00e1lez,680,1985-11-21,172,3474,right,Jes\u00fas Navas,null
70,Diego,,Perotti,3158,1988-07-26,179,3475,right,D. Perotti,null
78,Ivan,,Rakiti\u0107,676,1988-03-10,184,3476,right,I. Rakiti\u0107,9598
72,Luis Alberto,,Romero Alconchel,3162,1992-09-28,182,3484,right,Luis Alberto,null
77,Ahmet Yilmaz,,\u00c7al\u0131k,4492,1994-02-26,184,134557,right,A. \u00c7al\u0131k,null
82,Andr\u00e9s Eduardo,,Fern\u00e1ndez Moreno,682,1986-12-17,185,3486,right,Andr\u00e9s Fern\u00e1ndez,null
76,Asier,,Riesgo Unamuno,701,1983-10-06,185,3488,right,Asier Riesgo,null
87,Lacina,,Traor\u00e9,,1990-08-20,203,101795,right,L. Traor\u00e9,null
70,Marcos Danilo,,Ure\u00f1a Porras,62148,1990-03-05,179,101796,right,M. Ure\u00f1a,16871
78,Sergio,,Postigo Redondo,695,1988-11-04,185,3496,right,Sergio Postigo,null
83,Ra\u00fal,,Garc\u00eda Escudero,678,1986-07-11,184,3503,right,Ra\u00fal Garc\u00eda,null
73,Masoud,,Shojaei Soleimani,10788,1984-06-09,184,3509,right,M. Shojaei,10840
80,David,,Timor Copov\u00ed,756,1989-10-17,186,3510,left,Timor,null
78,Enrique,,Sola Clemente,,1986-02-25,184,3517,right,Kike Sola,null
89,Diego,,L\u00f3pez Rodr\u00edguez,691,1981-11-03,196,3519,right,Diego L\u00f3pez,null
70,Igor,,Smolnikov,13885,1988-08-08,178,101825,right,I. Smolnikov,14358
75,Mateo Pablo,,Musacchio,3157,1990-08-26,182,3526,right,M. Musacchio,null
64,Bernardo,,Mota Veiga de Carvalho e Silva,1625,1994-08-10,173,265673,left,Bernardo Silva,9905
82,Cristian Eduardo,,Zapata Valencia,3157,1986-09-30,187,3531,right,C. Zapata,12430
62,Jaume Vicent,,Costa Jord\u00e1,682,1988-03-18,171,3534,left,Jaume Costa,null
75,Jonathan ,,de Guzm\u00e1n,2462,1987-09-13,173,3535,right,J. de Guzm\u00e1n,null
72,Mubarak,,Wakaso,696,1990-07-25,171,3538,left,M. Wakaso,17522
71,Hern\u00e1n Arsenio,,P\u00e9rez Gonz\u00e1lez,696,1989-02-25,180,3539,right,H. P\u00e9rez,null
73,Bruno ,,Soriano Llido,682,1984-06-12,184,3541,left,Bruno,null
71,Manuel,,Trigueros Mu\u00f1oz,682,1991-10-17,178,3542,right,Trigueros,null
67,Mehdi,,Carcela-Gonz\u00e1lez,5083,1989-07-01,176,101847,left,M. Carcela-Gonz\u00e1lez,16216
72,Giuseppe,,Rossi,,1987-02-01,173,3548,left,G. Rossi,null
80,Wilfredo Daniel,,Caballero,1610,1981-09-28,186,3551,right,W. Caballero,12274
79,Rub\u00e9n Iv\u00e1n,,Mart\u00ednez Andrade,677,1984-06-22,188,3554,right,Rub\u00e9n,null
76,Federico Santiago,,Valverde Dipetta,677,1998-07-22,181,364005,right,F. Valverde,null
0,\u00cdan,,Pino Soler,683,1996-01-23,0,462312,right,\u00cdan Pino,null
78,Sergio,,S\u00e1nchez Ortega,691,1986-04-03,185,3562,right,Sergio S\u00e1nchez,null
79,Francisco Rom\u00e1n,,Alarc\u00f3n Su\u00e1rez,675,1992-04-21,176,3563,right,Isco,1598
77,Ignacio,,Camacho Barnola,2451,1990-03-07,183,3566,right,Camacho,null
79,Jos\u00e9 Luis,,Garc\u00eda del Pozo,683,1991-01-11,182,3568,right,Recio,null
82,Eliseu,,Pereira dos Santos,,1983-10-01,176,3570,left,Eliseu,null
75,Joaqu\u00edn,,S\u00e1nchez Rodr\u00edguez,684,1981-07-21,179,3571,right,Joaqu\u00edn,null
60,Francisco,,Portillo Soler,698,1990-06-13,169,3572,right,Portillo,null
86,J\u00e9r\u00e9my,,Toulalan,,1983-09-10,183,3573,right,J. Toulalan,null
69,Juan Miguel,,Jim\u00e9nez L\u00f3pez,687,1993-05-20,172,3576,right,Juanmi,null
76,Be\u00f1at,,Etxebarria Urkiaga,678,1987-02-19,177,3595,right,Be\u00f1at,null
72,Rub\u00e9n,,Castro Mart\u00edn,684,1981-06-27,174,3604,right,Rub\u00e9n Castro,null
72,Jorge,,Molina Vidal,698,1982-04-22,188,3605,right,Jorge Molina,null
75,Divock,,Okoth Origi,2451,1995-04-18,185,134708,right,D. Origi,null
82,Iv\u00e1n,,Ramis Barrios,701,1984-10-25,188,3642,right,Ramis,null
82,Pedro,,Bigas Rigo,714,1990-09-15,181,3644,left,Bigas,null
77,Gonzalo,,Castro Iriz\u00e1bal,683,1984-09-14,178,3645,left,Chory Castro,null
75,Tom\u00e1s,,Pina Isla,696,1987-10-14,185,3650,right,Tom\u00e1s Pina,null
86,Antonio Miguel,,Ram\u00edrez Mart\u00ednez,687,1986-11-23,191,3663,right,To\u00f1o,null
72,Alberto,,De La Bella Madure\u00f1o,687,1985-12-02,179,3667,left,De La Bella,null
79,\u00cd\u00f1igo,,Mart\u00ednez Berridi,678,1991-05-17,182,3671,left,\u00cd\u00f1igo Mart\u00ednez,null
